,0,1,Freebase_ID,movie,actor,character,trope
0,absent_minded_professor,"{'char': 'Professor Philip Brainard', 'movie': 'Flubber', 'id': '/m/0jy9q0', 'actor': 'Robin Williams'}",/m/0jy9q0,Flubber,Robin Williams,Professor Philip Brainard,absent_minded_professor
1,absent_minded_professor,"{'char': 'Professor Keenbean', 'movie': 'Richie Rich', 'id': '/m/02vchl3', 'actor': 'Michael McShane'}",/m/02vchl3,Richie Rich,Michael McShane,Professor Keenbean,absent_minded_professor
2,absent_minded_professor,"{'char': 'Dr. Reinhardt Lane', 'movie': 'The Shadow', 'id': '/m/0k6fkc', 'actor': 'Ian McKellen'}",/m/0k6fkc,The Shadow,Ian McKellen,Dr. Reinhardt Lane,absent_minded_professor
3,absent_minded_professor,"{'char': 'Dr. Harold Medford', 'movie': 'Them!', 'id': '/m/0k6_br', 'actor': 'Edmund Gwenn'}",/m/0k6_br,Them!,Edmund Gwenn,Dr. Harold Medford,absent_minded_professor
4,absent_minded_professor,"{'char': 'Daniel Jackson', 'movie': 'Stargate', 'id': '/m/0k3rhh', 'actor': 'James Spader'}",/m/0k3rhh,Stargate,James Spader,Daniel Jackson,absent_minded_professor
5,adventurer_archaeologist,"{'char': 'Indiana Jones', 'movie': 'Indiana Jones and the Kingdom of the Crystal Skull', 'id': '/m/0jzx78', 'actor': 'Harrison Ford'}",/m/0jzx78,Indiana Jones and the Kingdom of the Crystal Skull,Harrison Ford,Indiana Jones,adventurer_archaeologist
6,adventurer_archaeologist,"{'char': 'Indiana Jones', 'movie': 'Indiana Jones and the Raiders of the Lost Ark', 'id': '/m/0k294p', 'actor': 'Harrison Ford'}",/m/0k294p,Indiana Jones and the Raiders of the Lost Ark,Harrison Ford,Indiana Jones,adventurer_archaeologist
7,adventurer_archaeologist,"{'char': 'Indiana Jones', 'movie': 'Indiana Jones and the Temple of Doom', 'id': '/m/0jzx9b', 'actor': 'Harrison Ford'}",/m/0jzx9b,Indiana Jones and the Temple of Doom,Harrison Ford,Indiana Jones,adventurer_archaeologist
8,adventurer_archaeologist,"{'char': ""Evelyn Carnahan-O'Connell"", 'movie': 'The Mummy', 'id': '/m/0k5yzc', 'actor': 'Rachel Weisz'}",/m/0k5yzc,The Mummy,Rachel Weisz,Evelyn Carnahan-O'Connell,adventurer_archaeologist
9,arrogant_kungfu_guy,"{'char': 'Han', 'movie': 'Enter the Dragon', 'id': '/m/02vd8hn', 'actor': 'Shih Kien'}",/m/02vd8hn,Enter the Dragon,Shih Kien,Han,arrogant_kungfu_guy
10,arrogant_kungfu_guy,"{'char': 'Johnny Lawrence', 'movie': 'The Karate Kid', 'id': '/m/0k5jyf', 'actor': 'William Zabka'}",/m/0k5jyf,The Karate Kid,William Zabka,Johnny Lawrence,arrogant_kungfu_guy
11,arrogant_kungfu_guy,"{'char': 'Jen Yu', 'movie': 'Crouching Tiger, Hidden Dragon', 'id': '/m/0jwv09', 'actor': 'Zhang Ziyi'}",/m/0jwv09,"Crouching Tiger, Hidden Dragon",Zhang Ziyi,Jen Yu,arrogant_kungfu_guy
12,arrogant_kungfu_guy,"{'char': 'Pai Mei', 'movie': 'Kill Bill Volume 2', 'id': '/m/0gz3h92', 'actor': 'Chia Hui Liu'}",/m/0gz3h92,Kill Bill Volume 2,Chia Hui Liu,Pai Mei,arrogant_kungfu_guy
13,arrogant_kungfu_guy,"{'char': 'Apollo Creed', 'movie': 'Rocky', 'id': '/m/0k2n0d', 'actor': 'Carl Weathers'}",/m/0k2n0d,Rocky,Carl Weathers,Apollo Creed,arrogant_kungfu_guy
14,arrogant_kungfu_guy,"{'char': 'Clubber Lang', 'movie': 'Rocky III', 'id': '/m/0k2n56', 'actor': 'Mr. T'}",/m/0k2n56,Rocky III,Mr. T,Clubber Lang,arrogant_kungfu_guy
15,arrogant_kungfu_guy,"{'char': 'Storm Shadow', 'movie': 'G.I. Joe: The Rise of Cobra', 'id': '/m/052dfd5', 'actor': 'Lee Byung-Hun'}",/m/052dfd5,G.I. Joe: The Rise of Cobra,Lee Byung-Hun,Storm Shadow,arrogant_kungfu_guy
16,arrogant_kungfu_guy,"{'char': 'Kurgan', 'movie': 'Highlander', 'id': '/m/02214xq', 'actor': 'Clancy Brown'}",/m/02214xq,Highlander,Clancy Brown,Kurgan,arrogant_kungfu_guy
17,arrogant_kungfu_guy,"{'char': 'Anakin Skywalker', 'movie': 'Star Wars Episode III: Revenge of the Sith', 'id': '/m/02sg5ry', 'actor': 'Hayden Christensen'}",/m/02sg5ry,Star Wars Episode III: Revenge of the Sith,Hayden Christensen,Anakin Skywalker,arrogant_kungfu_guy
18,big_man_on_campus,"{'char': 'Guy Perkins', 'movie': 'Never Been Kissed', 'id': '/m/02vbkvz', 'actor': 'Jeremy Jordan'}",/m/02vbkvz,Never Been Kissed,Jeremy Jordan,Guy Perkins,big_man_on_campus
19,big_man_on_campus,"{'char': 'John Tucker', 'movie': 'John Tucker Must Die', 'id': '/m/0j_6gm', 'actor': 'Jesse Metcalfe'}",/m/0j_6gm,John Tucker Must Die,Jesse Metcalfe,John Tucker,big_man_on_campus
20,big_man_on_campus,"{'char': 'Woody Deane', 'movie': ""It's a Boy Girl Thing"", 'id': '/m/02vc983', 'actor': 'Kevin Zegers'}",/m/02vc983,It's a Boy Girl Thing,Kevin Zegers,Woody Deane,big_man_on_campus
