item,itemLabel
http://www.wikidata.org/entity/Q1286876,Maltese
http://www.wikidata.org/entity/Q1290668,Ni-Vanuatu
http://www.wikidata.org/entity/Q1208167,Ryukyuan people
http://www.wikidata.org/entity/Q1211360,Northern Ndebele people
http://www.wikidata.org/entity/Q1255605,Aquitani
http://www.wikidata.org/entity/Q1255534,Nair
http://www.wikidata.org/entity/Q1261777,Serbian Americans
http://www.wikidata.org/entity/Q1266626,Balinese people
http://www.wikidata.org/entity/Q1267849,Indo-Aryan peoples
http://www.wikidata.org/entity/Q1268882,Quapaw
http://www.wikidata.org/entity/Q1274487,Gurjar
http://www.wikidata.org/entity/Q1275920,Ixil people
http://www.wikidata.org/entity/Q1290677,Meru people
http://www.wikidata.org/entity/Q1292932,Lunda people
http://www.wikidata.org/entity/Q1293737,Bicolano people
http://www.wikidata.org/entity/Q1318423,Australians
http://www.wikidata.org/entity/Q1344183,English American
http://www.wikidata.org/entity/Q1350132,Aos Sí
http://www.wikidata.org/entity/Q1194940,Di
http://www.wikidata.org/entity/Q1211934,Hispanic
http://www.wikidata.org/entity/Q1267987,Malayali
http://www.wikidata.org/entity/Q1253290,Ute
http://www.wikidata.org/entity/Q1295544,Fang people
http://www.wikidata.org/entity/Q1265446,Marsi
http://www.wikidata.org/entity/Q1194596,Yadav
http://www.wikidata.org/entity/Q1195125,Cubans
http://www.wikidata.org/entity/Q1193617,Hoa people
http://www.wikidata.org/entity/Q1250849,Pākehā
http://www.wikidata.org/entity/Q1281236,Guyanese
http://www.wikidata.org/entity/Q1282763,Tahitians
http://www.wikidata.org/entity/Q1283606,Native Hawaiians
http://www.wikidata.org/entity/Q1287940,Assamese people
http://www.wikidata.org/entity/Q1290529,Syrian Turkmen
http://www.wikidata.org/entity/Q1289780,Jew
http://www.wikidata.org/entity/Q1190089,caveperson
http://www.wikidata.org/entity/Q1193808,Norwegian Americans
http://www.wikidata.org/entity/Q1207351,Chinese Canadians
http://www.wikidata.org/entity/Q1235705,Tiv people
http://www.wikidata.org/entity/Q1242155,Albanians in Kosovo
http://www.wikidata.org/entity/Q1256681,Arikara people
http://www.wikidata.org/entity/Q1258074,Sindhis
http://www.wikidata.org/entity/Q1261871,Mijikenda people
http://www.wikidata.org/entity/Q1262011,Tagalog people
http://www.wikidata.org/entity/Q1267760,Dusun people
http://www.wikidata.org/entity/Q1267758,Karenni people
http://www.wikidata.org/entity/Q1273334,Langi people
http://www.wikidata.org/entity/Q1273591,Munduruku people
http://www.wikidata.org/entity/Q1282773,Carolinian people
http://www.wikidata.org/entity/Q1315711,Black Seminoles
http://www.wikidata.org/entity/Q1322825,Kamchadals
http://www.wikidata.org/entity/Q1341218,Gurung people
http://www.wikidata.org/entity/Q1211290,Norsemen
http://www.wikidata.org/entity/Q1255780,Yao people
http://www.wikidata.org/entity/Q1258905,Madurese people
http://www.wikidata.org/entity/Q1260346,Santal people
http://www.wikidata.org/entity/Q1262591,Duala people
http://www.wikidata.org/entity/Q1262850,Nyamwezi people
http://www.wikidata.org/entity/Q1265028,Marathi people
http://www.wikidata.org/entity/Q1276073,Chileans
http://www.wikidata.org/entity/Q1276025,Kisii people
http://www.wikidata.org/entity/Q1280105,Nuba peoples
http://www.wikidata.org/entity/Q1290610,Khond people
http://www.wikidata.org/entity/Q1294121,Pangasinan people
http://www.wikidata.org/entity/Q1196645,Canadians
http://www.wikidata.org/entity/Q1196649,Kashmiri people
http://www.wikidata.org/entity/Q1257799,Ovimbundu people
http://www.wikidata.org/entity/Q1262400,Mende people
http://www.wikidata.org/entity/Q1266038,Senufo people
http://www.wikidata.org/entity/Q1267428,Dalmatae
http://www.wikidata.org/entity/Q1283558,Ngāpuhi
http://www.wikidata.org/entity/Q1363781,indigenous peoples in Brazil
http://www.wikidata.org/entity/Q1369944,French Americans
http://www.wikidata.org/entity/Q1375066,Pitjantjatjara people
http://www.wikidata.org/entity/Q1192069,Sidama people
http://www.wikidata.org/entity/Q1200528,Malaysian Chinese
http://www.wikidata.org/entity/Q1209676,Mexicans
http://www.wikidata.org/entity/Q1269663,Kalapuya people
