item,itemLabel
http://www.wikidata.org/entity/Q208045,gold
http://www.wikidata.org/entity/Q395436,Marron
http://www.wikidata.org/.well-known/genid/5a66d37c9ce24e0365db7e1933f136d9,http://www.wikidata.org/.well-known/genid/5a66d37c9ce24e0365db7e1933f136d9
http://www.wikidata.org/entity/Q2932937,coffee
http://www.wikidata.org/entity/Q2906505,horizon blue
http://www.wikidata.org/entity/Q5005364,fuchsia
http://www.wikidata.org/.well-known/genid/3bfa47bc2ce0e550d3bf2cc59b2ef764,http://www.wikidata.org/.well-known/genid/3bfa47bc2ce0e550d3bf2cc59b2ef764
http://www.wikidata.org/entity/Q2465494,emerald
http://www.wikidata.org/entity/Q1396399,colorless
http://www.wikidata.org/entity/Q17291407,amber
http://www.wikidata.org/entity/Q1078214,teal
http://www.wikidata.org/entity/Q66822379,Silver-Eyed Warriors
http://www.wikidata.org/entity/Q17244465,black
http://www.wikidata.org/entity/Q313120,cerulean
http://www.wikidata.org/entity/Q373058,azure
http://www.wikidata.org/.well-known/genid/3ca3ed9baa111c5cab5be28755928abb,http://www.wikidata.org/.well-known/genid/3ca3ed9baa111c5cab5be28755928abb
http://www.wikidata.org/.well-known/genid/e736da7bdc5eee7bdcbf21ef7603c845,http://www.wikidata.org/.well-known/genid/e736da7bdc5eee7bdcbf21ef7603c845
http://www.wikidata.org/.well-known/genid/8747bdb7d51bc4b71d209bae51159035,http://www.wikidata.org/.well-known/genid/8747bdb7d51bc4b71d209bae51159035
http://www.wikidata.org/entity/Q25393814,maroon
http://www.wikidata.org/entity/Q27777837,yellow
http://www.wikidata.org/entity/Q17122834,blue
http://www.wikidata.org/.well-known/genid/cd8f7294dec7b9a351072aede0acc67d,http://www.wikidata.org/.well-known/genid/cd8f7294dec7b9a351072aede0acc67d
http://www.wikidata.org/.well-known/genid/e91c1bac81d00243100223bd11f80748,http://www.wikidata.org/.well-known/genid/e91c1bac81d00243100223bd11f80748
http://www.wikidata.org/entity/Q17122705,brown
http://www.wikidata.org/entity/Q17122854,green
http://www.wikidata.org/.well-known/genid/d817cba41dc98407e755c0dfa8f09390,http://www.wikidata.org/.well-known/genid/d817cba41dc98407e755c0dfa8f09390
http://www.wikidata.org/entity/Q17245659,gray
http://www.wikidata.org/entity/Q17126729,red
http://www.wikidata.org/entity/Q373160,sky blue
http://www.wikidata.org/.well-known/genid/617a812f8b9ec60e42ccbada7d0ca965,http://www.wikidata.org/.well-known/genid/617a812f8b9ec60e42ccbada7d0ca965
http://www.wikidata.org/entity/Q42845936,blue-gray
http://www.wikidata.org/entity/Q27839441,purple
http://www.wikidata.org/entity/Q17244894,dark brown
http://www.wikidata.org/entity/Q17122740,hazel
http://www.wikidata.org/.well-known/genid/996ad4c6d19dfc9f0743edaaf37128de,http://www.wikidata.org/.well-known/genid/996ad4c6d19dfc9f0743edaaf37128de
http://www.wikidata.org/.well-known/genid/99ec21e2ffdbd50e5f0bddbcf4829889,http://www.wikidata.org/.well-known/genid/99ec21e2ffdbd50e5f0bddbcf4829889
http://www.wikidata.org/.well-known/genid/a48f80fefe2b542e15da4f8506af1b08,http://www.wikidata.org/.well-known/genid/a48f80fefe2b542e15da4f8506af1b08
http://www.wikidata.org/entity/Q60172366,dark blue
http://www.wikidata.org/entity/Q3375649,blue-green
http://www.wikidata.org/entity/Q59318252,pink
http://www.wikidata.org/entity/Q62391724,white
http://www.wikidata.org/.well-known/genid/011f0f9af1a05f64b2549e95e624133e,http://www.wikidata.org/.well-known/genid/011f0f9af1a05f64b2549e95e624133e
http://www.wikidata.org/entity/Q59318527,orange
http://www.wikidata.org/.well-known/genid/e1bfc4830c20406bfca6c4d0bc4ddaf2,http://www.wikidata.org/.well-known/genid/e1bfc4830c20406bfca6c4d0bc4ddaf2
http://www.wikidata.org/entity/Q30069237,dark eyes
http://www.wikidata.org/entity/Q66821598,silver
http://www.wikidata.org/entity/Q61600018,light blue
http://www.wikidata.org/entity/Q78374938,light green
http://www.wikidata.org/.well-known/genid/4a1e8f78e59b2ba8286672b8a64ef14d,http://www.wikidata.org/.well-known/genid/4a1e8f78e59b2ba8286672b8a64ef14d
http://www.wikidata.org/entity/Q79399164,light brown
http://www.wikidata.org/entity/Q87067369,cyan
http://www.wikidata.org/entity/Q79401007,dark green
http://www.wikidata.org/.well-known/genid/22df570d67250bad18c57811206ea0a1,http://www.wikidata.org/.well-known/genid/22df570d67250bad18c57811206ea0a1
http://www.wikidata.org/.well-known/genid/5ccf6a0798a1324ba018eb51758f6a1c,http://www.wikidata.org/.well-known/genid/5ccf6a0798a1324ba018eb51758f6a1c
http://www.wikidata.org/.well-known/genid/62604579a28e648c49dcd406dd16bb24,http://www.wikidata.org/.well-known/genid/62604579a28e648c49dcd406dd16bb24
http://www.wikidata.org/entity/Q100132309,sapphire
http://www.wikidata.org/.well-known/genid/895493d666d7c9628ec61d313d975c61,http://www.wikidata.org/.well-known/genid/895493d666d7c9628ec61d313d975c61
http://www.wikidata.org/entity/Q87067389,teal
http://www.wikidata.org/entity/Q100134571,chestnut
http://www.wikidata.org/entity/Q100134963,lavender
http://www.wikidata.org/entity/Q100136258,turquoise
http://www.wikidata.org/entity/Q112259529,gold
http://www.wikidata.org/.well-known/genid/88f72bb72775ac4b085015faca2d58c5,http://www.wikidata.org/.well-known/genid/88f72bb72775ac4b085015faca2d58c5
http://www.wikidata.org/.well-known/genid/123a88354c63c95b4fa08d04e3dfc578,http://www.wikidata.org/.well-known/genid/123a88354c63c95b4fa08d04e3dfc578
http://www.wikidata.org/.well-known/genid/a85171284a85402496c84e2996382c71,http://www.wikidata.org/.well-known/genid/a85171284a85402496c84e2996382c71
http://www.wikidata.org/.well-known/genid/21da179d0e9cb5e56feb917bf0745f09,http://www.wikidata.org/.well-known/genid/21da179d0e9cb5e56feb917bf0745f09
http://www.wikidata.org/.well-known/genid/28bc20a0b63d1e0e69abe9dd365bd231,http://www.wikidata.org/.well-known/genid/28bc20a0b63d1e0e69abe9dd365bd231
http://www.wikidata.org/.well-known/genid/f4748efbb45a05cb0f70f95221bd907a,http://www.wikidata.org/.well-known/genid/f4748efbb45a05cb0f70f95221bd907a
