item,itemLabel
http://www.wikidata.org/entity/Q81793,Rio Verde
http://www.wikidata.org/entity/Q202466,blond hair
http://www.wikidata.org/.well-known/genid/8f07cd3693bbc773dde90447227929ef,http://www.wikidata.org/.well-known/genid/8f07cd3693bbc773dde90447227929ef
http://www.wikidata.org/entity/Q208045,gold
http://www.wikidata.org/entity/Q843607,beige
http://www.wikidata.org/entity/Q2730433,cream
http://www.wikidata.org/entity/Q181391,baldness
http://www.wikidata.org/entity/Q1406070,chestnut
http://www.wikidata.org/entity/Q2040833,chestnut
http://www.wikidata.org/entity/Q1670336,tan
http://www.wikidata.org/entity/Q2722041,copper
http://www.wikidata.org/entity/Q65168312,hair bleaching
http://www.wikidata.org/entity/Q87069481,multicoloured hair
http://www.wikidata.org/entity/Q78381028,hazel hair
http://www.wikidata.org/entity/Q4930092,blue hair
http://www.wikidata.org/.well-known/genid/09915e232d632857de7607735888ea73,http://www.wikidata.org/.well-known/genid/09915e232d632857de7607735888ea73
http://www.wikidata.org/entity/Q100136341,turquoise hair
http://www.wikidata.org/entity/Q218218,mulberry
http://www.wikidata.org/entity/Q1922956,black hair
http://www.wikidata.org/entity/Q2617229,periwinkle
http://www.wikidata.org/entity/Q2367101,brown hair
http://www.wikidata.org/entity/Q5094009,chestnut hair
http://www.wikidata.org/entity/Q6933946,white hair
http://www.wikidata.org/entity/Q7405972,salt and pepper
http://www.wikidata.org/entity/Q737438,orange-red
http://www.wikidata.org/entity/Q28961883,dark brown hair
http://www.wikidata.org/entity/Q10509939,gray hair
http://www.wikidata.org/entity/Q19916539,orange hair
http://www.wikidata.org/entity/Q2419551,auburn hair
http://www.wikidata.org/entity/Q104145275,light blond
http://www.wikidata.org/entity/Q104162051,dirty blond hair
http://www.wikidata.org/entity/Q5967009,indigo
http://www.wikidata.org/entity/Q26449910,green hair
http://www.wikidata.org/entity/Q28868833,dark blond
http://www.wikidata.org/entity/Q2263850,afro-textured hair
http://www.wikidata.org/entity/Q111443427,lilac hair
http://www.wikidata.org/entity/Q28962042,pink hair
http://www.wikidata.org/entity/Q62267859,Q62267859
http://www.wikidata.org/entity/Q112042190,beige blond
http://www.wikidata.org/entity/Q112130778,light red hair
http://www.wikidata.org/entity/Q112989985,platinum blond hair
http://www.wikidata.org/entity/Q59297065,lavender hair
http://www.wikidata.org/entity/Q113294569,dark grey hair
http://www.wikidata.org/entity/Q152357,red hair
http://www.wikidata.org/entity/Q215,Slovenia
http://www.wikidata.org/entity/Q4956562,brand ambassador
http://www.wikidata.org/entity/Q61507574,light blue hair
http://www.wikidata.org/entity/Q18661358,strawberry blond hair
http://www.wikidata.org/entity/Q27790873,purple hair
http://www.wikidata.org/entity/Q19888422,yellow-brown
http://www.wikidata.org/entity/Q29572385,multicolored
http://www.wikidata.org/.well-known/genid/f0916591b3ac02dd6426fcea1c02e3e7,http://www.wikidata.org/.well-known/genid/f0916591b3ac02dd6426fcea1c02e3e7
http://www.wikidata.org/.well-known/genid/d1bf625f6d9c718812cc91da30af82bd,http://www.wikidata.org/.well-known/genid/d1bf625f6d9c718812cc91da30af82bd
http://www.wikidata.org/.well-known/genid/25cf483a1e436ed70c0cdbc3ceacedcb,http://www.wikidata.org/.well-known/genid/25cf483a1e436ed70c0cdbc3ceacedcb
http://www.wikidata.org/entity/Q2906904,titian hair
http://www.wikidata.org/entity/Q78369542,teal hair
http://www.wikidata.org/entity/Q61196466,yellow hair
http://www.wikidata.org/entity/Q68588170,honey blond
http://www.wikidata.org/entity/Q79902046,light green hair
http://www.wikidata.org/.well-known/genid/188ea7c717343f8895b9e0eea9d44653,http://www.wikidata.org/.well-known/genid/188ea7c717343f8895b9e0eea9d44653
http://www.wikidata.org/entity/Q81744936,cyan hair
http://www.wikidata.org/entity/Q78375121,dark blue hair
http://www.wikidata.org/entity/Q61600198,light purple hair
http://www.wikidata.org/.well-known/genid/91dcfcf72c3ef561d2989d9f7c2329f3,http://www.wikidata.org/.well-known/genid/91dcfcf72c3ef561d2989d9f7c2329f3
http://www.wikidata.org/entity/Q90809330,dark violet
http://www.wikidata.org/entity/Q100292105,amber hair
http://www.wikidata.org/entity/Q58628766,silver hair
http://www.wikidata.org/.well-known/genid/7904aa201fec32e6d56a9c65c564151f,http://www.wikidata.org/.well-known/genid/7904aa201fec32e6d56a9c65c564151f
http://www.wikidata.org/entity/Q79483987,dark green hair
http://www.wikidata.org/.well-known/genid/c1194aec16f8015494652a9ab0ba39e4,http://www.wikidata.org/.well-known/genid/c1194aec16f8015494652a9ab0ba39e4
http://www.wikidata.org/entity/Q79483632,light brown hair
