item,itemLabel
http://www.wikidata.org/entity/Q78704,Hanns Eisler
http://www.wikidata.org/entity/Q78920,Harald Reinl
http://www.wikidata.org/entity/Q79003,Jessica Hausner
http://www.wikidata.org/entity/Q80739,Charlton Heston
http://www.wikidata.org/entity/Q81447,Aldous Huxley
http://www.wikidata.org/entity/Q81364,Kim Henkel
http://www.wikidata.org/entity/Q82234,Emanuele Crialese
http://www.wikidata.org/entity/Q84023,Fernando Matos Silva
http://www.wikidata.org/entity/Q84485,Paul Falkenberg
http://www.wikidata.org/entity/Q84630,Karl Hartl
http://www.wikidata.org/entity/Q84827,Hubert Marischka
http://www.wikidata.org/entity/Q85008,Axel Corti
http://www.wikidata.org/entity/Q84920,Herbert Rappaport
http://www.wikidata.org/entity/Q85019,Gottfried Reinhardt
http://www.wikidata.org/entity/Q85204,Artur Berger
http://www.wikidata.org/entity/Q85692,Alfred Halm
http://www.wikidata.org/entity/Q87253,Ernst Gossner
http://www.wikidata.org/entity/Q87263,Hans Holt
http://www.wikidata.org/entity/Q87329,Titus Leber
http://www.wikidata.org/entity/Q87821,Rudolf Bernauer
http://www.wikidata.org/entity/Q87931,Franz Antel
http://www.wikidata.org/entity/Q88251,Siegfried Breuer
http://www.wikidata.org/entity/Q88495,Fred Sauer
http://www.wikidata.org/entity/Q89064,Georg Marischka
http://www.wikidata.org/entity/Q89627,Maria Blumencron
http://www.wikidata.org/entity/Q90338,Peter Paul Felner
http://www.wikidata.org/entity/Q91032,Irma von Cube
http://www.wikidata.org/entity/Q91196,Eugen Schuhmacher
http://www.wikidata.org/entity/Q91460,Lutz Mommartz
http://www.wikidata.org/entity/Q93137,Pär Lagerkvist
http://www.wikidata.org/entity/Q93818,Shauna MacDonald
http://www.wikidata.org/entity/Q93920,Éric Adam
http://www.wikidata.org/entity/Q94358,Arleen Sorkin
http://www.wikidata.org/entity/Q94281,Patric Chiha
http://www.wikidata.org/entity/Q95030,Warren Beatty
http://www.wikidata.org/entity/Q95133,Robert Aldrich
http://www.wikidata.org/entity/Q95465,Tommy Jaud
http://www.wikidata.org/entity/Q95556,Hagen Liebing
http://www.wikidata.org/entity/Q95808,Christoph Biemann
http://www.wikidata.org/entity/Q96202,Curth Flatow
http://www.wikidata.org/entity/Q96919,Heinrich Spoerl
http://www.wikidata.org/entity/Q97364,Herbert B. Fredersdorf
http://www.wikidata.org/entity/Q97503,Günter Reisch
http://www.wikidata.org/entity/Q97499,Thomas Hermanns
http://www.wikidata.org/entity/Q97632,Niko von Glasow
http://www.wikidata.org/entity/Q100937,Fred Astaire
http://www.wikidata.org/entity/Q101399,Julius Urgiß
http://www.wikidata.org/entity/Q102910,Dorit Zinn
http://www.wikidata.org/entity/Q103871,Beate Mainka-Jellinghaus
http://www.wikidata.org/entity/Q103939,Charlie Sheen
http://www.wikidata.org/entity/Q103917,Steven Soderbergh
http://www.wikidata.org/entity/Q103973,Roland Gräf
http://www.wikidata.org/entity/Q104081,Mickey Rooney
http://www.wikidata.org/entity/Q104744,Buket Alakuş
http://www.wikidata.org/entity/Q104807,Adolf Winkelmann
http://www.wikidata.org/entity/Q105221,Dan Aykroyd
http://www.wikidata.org/entity/Q105118,Sidney Sheldon
http://www.wikidata.org/entity/Q105338,Geert Wilders
http://www.wikidata.org/entity/Q105466,Bonnie Wright
http://www.wikidata.org/entity/Q105519,Carl-A. Fechner
http://www.wikidata.org/entity/Q105987,Charles Boyer
http://www.wikidata.org/entity/Q106175,John Cusack
http://www.wikidata.org/entity/Q106197,Leo Lasko
http://www.wikidata.org/entity/Q106225,Jean Yanne
http://www.wikidata.org/entity/Q106326,Jean-Claude Brialy
http://www.wikidata.org/entity/Q106461,Gina Falckenberg
http://www.wikidata.org/entity/Q106752,Hüseyin Erdem
http://www.wikidata.org/entity/Q106932,Christoph Sonntag
http://www.wikidata.org/entity/Q107050,Felix von Eckardt
http://www.wikidata.org/entity/Q107039,Marianna Salzmann
http://www.wikidata.org/entity/Q107768,Francesco Stefani
http://www.wikidata.org/entity/Q107769,Luke Wilson
http://www.wikidata.org/entity/Q107933,Jim Belushi
http://www.wikidata.org/entity/Q108417,Sylke Enders
http://www.wikidata.org/entity/Q108617,Walter Bockmayer
http://www.wikidata.org/entity/Q108865,Hans Domnick
http://www.wikidata.org/entity/Q109211,Elsa Bassermann
http://www.wikidata.org/entity/Q109999,Rüdiger Heinze
http://www.wikidata.org/entity/Q110136,Christiane Krüger
http://www.wikidata.org/entity/Q110494,Johanna Sibelius
http://www.wikidata.org/entity/Q110505,Ralf Günther
http://www.wikidata.org/entity/Q110850,Klaus Emmerich
http://www.wikidata.org/entity/Q111164,Hans Noever
http://www.wikidata.org/entity/Q111274,Gisela Karau
http://www.wikidata.org/entity/Q112263,Colin Ross
http://www.wikidata.org/entity/Q112352,Bora Dağtekin
http://www.wikidata.org/entity/Q112527,Felix Mitterer
http://www.wikidata.org/entity/Q112999,Michael Scharang
http://www.wikidata.org/entity/Q113206,Clark Gregg
http://www.wikidata.org/entity/Q113208,Mauro Ivaldi
http://www.wikidata.org/entity/Q113265,Knut Faldbakken
http://www.wikidata.org/entity/Q113835,Rudolph Cartier
http://www.wikidata.org/entity/Q114012,Feo Aladag
http://www.wikidata.org/entity/Q114113,Michael Wallner
http://www.wikidata.org/entity/Q114485,Curt Blachnitzky
http://www.wikidata.org/entity/Q114681,Andreas Prochaska
http://www.wikidata.org/entity/Q116861,Fran Walsh
http://www.wikidata.org/entity/Q117529,Franz Schnyder
http://www.wikidata.org/entity/Q117783,Hugo Claus
http://www.wikidata.org/entity/Q118392,Pinkas Braun
http://www.wikidata.org/entity/Q66282,Carl Einstein
http://www.wikidata.org/entity/Q66774,Ulli Lommel
http://www.wikidata.org/entity/Q67268,Christian Petzold
http://www.wikidata.org/entity/Q67216,Sebastian Fitzek
http://www.wikidata.org/entity/Q67808,Martin Ebbertz
http://www.wikidata.org/entity/Q67903,Helma Sanders-Brahms
http://www.wikidata.org/entity/Q68219,Louis de Wohl
http://www.wikidata.org/entity/Q69092,Detlev Buck
http://www.wikidata.org/entity/Q69810,Monika Treut
http://www.wikidata.org/entity/Q70953,Sandra Nettelbeck
http://www.wikidata.org/entity/Q71547,Gerhard Lamprecht
http://www.wikidata.org/entity/Q71942,Carl Boese
http://www.wikidata.org/entity/Q72302,Paul Verhoeven
http://www.wikidata.org/entity/Q73761,Kimberly Peirce
http://www.wikidata.org/entity/Q74021,Ivan Kušan
http://www.wikidata.org/entity/Q74227,Tom McGrath
http://www.wikidata.org/entity/Q75417,Adolf Paul
http://www.wikidata.org/entity/Q75650,Ádám Simon
http://www.wikidata.org/entity/Q76184,Herbert Selpin
http://www.wikidata.org/entity/Q76310,Kai Meyer
http://www.wikidata.org/entity/Q76492,Fritz Reuter
http://www.wikidata.org/entity/Q76480,Heinrich Mann
http://www.wikidata.org/entity/Q76412,Siegfried Lenz
http://www.wikidata.org/entity/Q76490,Helge Schneider
http://www.wikidata.org/entity/Q76498,Michael Ende
http://www.wikidata.org/entity/Q76820,Carl Zuckmayer
http://www.wikidata.org/entity/Q77069,Leonhard Frank
http://www.wikidata.org/entity/Q77447,Friedrich Wolf
http://www.wikidata.org/entity/Q77365,Walter Ruttmann
http://www.wikidata.org/entity/Q77393,Wolfgang Lukschy
http://www.wikidata.org/entity/Q77585,Erik Ode
http://www.wikidata.org/entity/Q77808,Günther Krupkat
http://www.wikidata.org/entity/Q77862,Dietrich Schwanitz
http://www.wikidata.org/entity/Q78006,Dieter Hallervorden
http://www.wikidata.org/entity/Q78435,Heinz Hilpert
http://www.wikidata.org/entity/Q78667,Christian Berger
http://www.wikidata.org/entity/Q78685,Gregor von Rezzori
http://www.wikidata.org/entity/Q853,Andrei Tarkovsky
http://www.wikidata.org/entity/Q1276,Leonard Cohen
http://www.wikidata.org/entity/Q2190,Coluche
http://www.wikidata.org/entity/Q7546,Ingmar Bergman
http://www.wikidata.org/entity/Q12903,Hisashi Inoue
http://www.wikidata.org/entity/Q42,Douglas Adams
http://www.wikidata.org/entity/Q13888,Luchino Visconti
http://www.wikidata.org/entity/Q16397,Bruce Lee
http://www.wikidata.org/entity/Q23261,Hideaki Anno
http://www.wikidata.org/entity/Q23517,Ricky Gervais
http://www.wikidata.org/entity/Q24907,Anker Sørensen
http://www.wikidata.org/entity/Q24829,Orson Welles
http://www.wikidata.org/entity/Q25014,John Cleese
http://www.wikidata.org/entity/Q25147,Franco Battiato
http://www.wikidata.org/entity/Q25078,Terry Gilliam
http://www.wikidata.org/entity/Q25144,Kevin Spacey
http://www.wikidata.org/entity/Q29250,Bill Murray
http://www.wikidata.org/entity/Q31214,György Hámos
http://www.wikidata.org/entity/Q31984,William Kennedy
http://www.wikidata.org/entity/Q33171,Baraguru Ramachandrappa
http://www.wikidata.org/entity/Q34460,Gwyneth Paltrow
http://www.wikidata.org/entity/Q36105,Charles Bronson
http://www.wikidata.org/entity/Q38573,Walter Jens
http://www.wikidata.org/entity/Q40874,Doris Lessing
http://www.wikidata.org/entity/Q41148,Martin Scorsese
http://www.wikidata.org/entity/Q41580,Axel Munthe
http://www.wikidata.org/entity/Q43264,Manoel de Oliveira
http://www.wikidata.org/entity/Q44131,Werner Herzog
http://www.wikidata.org/entity/Q44647,Otfried Preußler
http://www.wikidata.org/entity/Q45221,Herbert Achternbusch
http://www.wikidata.org/entity/Q45387,Roberto Blanco
http://www.wikidata.org/entity/Q45765,Jack London
http://www.wikidata.org/entity/Q47243,Elfriede Jelinek
http://www.wikidata.org/entity/Q48739,Harald Eia
http://www.wikidata.org/entity/Q49080,Isaak Babel
http://www.wikidata.org/entity/Q50612,Susan Rice
http://www.wikidata.org/entity/Q51519,Alan J. Pakula
http://www.wikidata.org/entity/Q51490,George Stevens
http://www.wikidata.org/entity/Q52249,Colette Audry
http://www.wikidata.org/entity/Q52255,Emma Donoghue
http://www.wikidata.org/entity/Q53044,Elio Petri
http://www.wikidata.org/entity/Q53015,Luigi Comencini
http://www.wikidata.org/entity/Q53120,Dylan McDermott
http://www.wikidata.org/entity/Q55198,Alexander Dovzhenko
http://www.wikidata.org/entity/Q55163,Robert Altman
http://www.wikidata.org/entity/Q55211,Mohsen Makhmalbaf
http://www.wikidata.org/entity/Q55207,Nikita Mikhalkov
http://www.wikidata.org/entity/Q55405,Bimal Roy
http://www.wikidata.org/entity/Q55450,Aldo Fabrizi
http://www.wikidata.org/entity/Q55453,Augusto Genina
http://www.wikidata.org/entity/Q55426,Glauber Rocha
http://www.wikidata.org/entity/Q55415,Leni Riefenstahl
http://www.wikidata.org/entity/Q55402,Yasujirō Ozu
http://www.wikidata.org/entity/Q56093,Blake Edwards
http://www.wikidata.org/entity/Q57374,Lale Andersen
http://www.wikidata.org/entity/Q57932,Florian Henckel von Donnersmarck
http://www.wikidata.org/entity/Q59054,Boris Strugatsky
http://www.wikidata.org/entity/Q59204,Alberto Lattuada
http://www.wikidata.org/entity/Q61099,Karoline Herfurth
http://www.wikidata.org/entity/Q61199,Reiner Kunze
http://www.wikidata.org/entity/Q61881,Bernd Eichinger
http://www.wikidata.org/entity/Q62099,Karl Freund
http://www.wikidata.org/entity/Q63972,Frank Beyer
http://www.wikidata.org/entity/Q98332,Peter Krieg
http://www.wikidata.org/entity/Q99302,Züli Aladağ
http://www.wikidata.org/entity/Q99662,Lothar Lambert
http://www.wikidata.org/entity/Q119710,Peter Martin Lampel
http://www.wikidata.org/entity/Q119862,Karl Georg Külb
http://www.wikidata.org/entity/Q119874,Walter von Molo
http://www.wikidata.org/entity/Q120448,Pablo Aguilar
http://www.wikidata.org/entity/Q120687,Mona Petri
http://www.wikidata.org/entity/Q121064,Alexander Ziegler
http://www.wikidata.org/entity/Q121456,Giacomo Furia
http://www.wikidata.org/entity/Q121425,Michael Koch
http://www.wikidata.org/entity/Q121685,Hannes Schmidhauser
http://www.wikidata.org/entity/Q122172,Alfred Schirokauer
http://www.wikidata.org/entity/Q123108,Volker Kutscher
http://www.wikidata.org/entity/Q123186,Sebastian Dehnhardt
http://www.wikidata.org/entity/Q124180,Anton Kutter
http://www.wikidata.org/entity/Q126513,Steve Irwin
http://www.wikidata.org/entity/Q126713,Katrin Schaake
http://www.wikidata.org/entity/Q126854,Rochus Gliese
http://www.wikidata.org/entity/Q126941,J. Michael Straczynski
http://www.wikidata.org/entity/Q127330,Frank Zappa
http://www.wikidata.org/entity/Q129386,Abner Biberman
http://www.wikidata.org/entity/Q129407,Tonino Cervi
http://www.wikidata.org/entity/Q129851,Kenan Görgün
http://www.wikidata.org/entity/Q130034,Peter Horton
http://www.wikidata.org/entity/Q130092,Valérie Donzelli
http://www.wikidata.org/entity/Q134456,Yukio Mishima
http://www.wikidata.org/entity/Q134867,Danny Boyle
http://www.wikidata.org/entity/Q134942,William Somerset Maugham
http://www.wikidata.org/entity/Q137634,Jackie Burroughs
http://www.wikidata.org/entity/Q137679,Gertrude Atherton
http://www.wikidata.org/entity/Q142781,Georgi Danailov
http://www.wikidata.org/entity/Q144354,Dimitri Logothetis
http://www.wikidata.org/entity/Q146763,Zane Grey
http://www.wikidata.org/entity/Q148234,Edgar Rice Burroughs
http://www.wikidata.org/entity/Q148669,Ida Lupino
http://www.wikidata.org/entity/Q153125,Blanche Baker
http://www.wikidata.org/entity/Q153120,Rudolf Sieber
http://www.wikidata.org/entity/Q157321,Francis Picabia
http://www.wikidata.org/entity/Q160430,David Garrett
http://www.wikidata.org/entity/Q161933,Alberto Moravia
http://www.wikidata.org/entity/Q165534,Carlo Goldoni
http://www.wikidata.org/entity/Q167090,Josef Hader
http://www.wikidata.org/entity/Q167475,Jacques Rivette
http://www.wikidata.org/entity/Q168175,Zbigniew Trzciński
http://www.wikidata.org/entity/Q168693,Jean-Pierre Melville
http://www.wikidata.org/entity/Q169452,Shaquille O'Neal
http://www.wikidata.org/entity/Q170509,Henry James
http://www.wikidata.org/entity/Q170596,T. E. Lawrence
http://www.wikidata.org/entity/Q173637,Ice Cube
http://www.wikidata.org/entity/Q177984,Peter Sellers
http://www.wikidata.org/entity/Q178713,Isao Takahata
http://www.wikidata.org/entity/Q179109,Roland Barthes
http://www.wikidata.org/entity/Q180252,Lewis Black
http://www.wikidata.org/entity/Q180626,Jin Yong
http://www.wikidata.org/entity/Q181573,Fazil Iskander
http://www.wikidata.org/entity/Q181659,Ursula K. Le Guin
http://www.wikidata.org/entity/Q181774,Ray Milland
http://www.wikidata.org/entity/Q182455,Wilt Chamberlain
http://www.wikidata.org/entity/Q183031,Garrison Keillor
http://www.wikidata.org/entity/Q183397,Fred Hoyle
http://www.wikidata.org/entity/Q183382,Lyudmila Petrushevskaya
http://www.wikidata.org/entity/Q184622,Jean Genet
http://www.wikidata.org/entity/Q184785,Anne Rice
http://www.wikidata.org/entity/Q185548,Jostein Gaarder
http://www.wikidata.org/entity/Q185829,Jean-Claude Forest
http://www.wikidata.org/entity/Q188848,María Elena Walsh
http://www.wikidata.org/entity/Q189119,Edward Morgan Forster
http://www.wikidata.org/entity/Q190794,Famke Janssen
http://www.wikidata.org/entity/Q193482,Neve Campbell
http://www.wikidata.org/entity/Q196560,Kelsey Grammer
http://www.wikidata.org/entity/Q196773,Zeruya Shalev
http://www.wikidata.org/entity/Q201279,Woody Harrelson
